Index,name,establishment,url,address,city,locality,zipcode,locality_verbose,cuisines,timings,average_cost_for_two,price_range,highlights,aggregate_rating,rating_text,votes,location_url
11,Wok On Fire,['Casual Dining'],https://www.zomato.com/ahmedabad/wok-on-fire-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Aeon Complex, Vijay Cross Roads, Opposite Navkar Institute, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Chinese, Thai, Asian",11 AM to 11 PM (Mon-Sun),1200,3,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Sodexo', 'Air Conditioned', 'Pure Veg', 'Brunch', 'Indoor Seating']",4.1,Very Good,1305,https://www.google.com/maps/search/?api=1&query=Wok%20On%20Fire%2C%201%2C%20Aeon%20Complex%2C%20Vijay%20Cross%20Roads%2C%20Opposite%20Navkar%20Institute%2C%20Navrangpura%2C%20Ahmedabad
12,Mocha,['Café'],https://www.zomato.com/ahmedabad/mocha-c-g-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10, Vasant Baug Society, Near IDBI Bank, CA Circle, Navrangpura, Ahmedabad",Ahmedabad,C G Road,380006,"C G Road, Ahmedabad","Cafe, Italian","11 AM to 11 PM (Mon), 11 AM to 12:30 AM (Tue-Sun)",800,3,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Free Wifi', 'Digital Payments Accepted', 'Wifi', 'Live Sports Screening', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Desserts and Bakes', 'Valet Parking Available']",4.4,Very Good,1065,https://www.google.com/maps/search/?api=1&query=Mocha%2C%2010%2C%20Vasant%20Baug%20Society%2C%20Near%20IDBI%20Bank%2C%20CA%20Circle%2C%20Navrangpura%2C%20Ahmedabad
13,Kabir Restaurant,['Casual Dining'],https://www.zomato.com/ahmedabad/kabir-restaurant-gurukul?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"JB Tower, Opposite Doordarshan Kendra, Drive In Road, Gurukul, Ahmedabad",Ahmedabad,Gurukul,0,"Gurukul, Ahmedabad",North Indian,8 AM to 11 PM,600,2,"['Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']",4.0,Very Good,3052,https://www.google.com/maps/search/?api=1&query=Kabir%20Restaurant%2C%20JB%20Tower%2C%20Opposite%20Doordarshan%20Kendra%2C%20Drive%20In%20Road%2C%20Gurukul%2C%20Ahmedabad
14,Parosa,['Casual Dining'],https://www.zomato.com/ahmedabad/parosa-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 2, Ground Floor, Silver Radiance Building, Near Pakwan Cross Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380054,"Bodakdev, Ahmedabad","Italian, Mexican, North Indian","12 Noon to 12 Midnight (Mon-Wed, Fri), 11 AM to 12 Midnight (Thu), 12 Noon to 1 AM (Sat-Sun)",800,3,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",4.2,Very Good,930,https://www.google.com/maps/search/?api=1&query=Parosa%2C%20Shop%202%2C%20Ground%20Floor%2C%20Silver%20Radiance%20Building%2C%20Near%20Pakwan%20Cross%20Road%2C%20Bodakdev%2C%20Ahmedabad
15,Jay Nilkanth Food,['Quick Bites'],https://www.zomato.com/ahmedabad/jay-nilkanth-food-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7 & 8, Ajay Centre, Opposite Memnagar Fire Station, Vijay Cross Road, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad",North Indian,11 AM to 11 PM (Mon-Sun),400,2,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",3.1,Average,1499,https://www.google.com/maps/search/?api=1&query=Jay%20Nilkanth%20Food%2C%207%20%26%208%2C%20Ajay%20Centre%2C%20Opposite%20Memnagar%20Fire%20Station%2C%20Vijay%20Cross%20Road%2C%20Navrangpura%2C%20Ahmedabad
16,Mocha,['Café'],https://www.zomato.com/ahmedabad/mocha-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"6-9, Ground Floor, Devashish Business Park, Opposite Krishna Complex, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","Cafe, Italian","11am – 11pm (Mon),12:1AM – 12:45AM, 11am – 12midnight (Tue-Sun)",800,3,"['Credit Card', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Dinner', 'Wifi', 'Valet Parking Available', 'Indoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area']",4.6,Excellent,2379,https://www.google.com/maps/search/?api=1&query=Mocha%2C%206-9%2C%20Ground%20Floor%2C%20Devashish%20Business%20Park%2C%20Opposite%20Krishna%20Complex%2C%20Bodakdev%2C%20Ahmedabad
17,Legends Of Punjab - By Pepperazi,['Casual Dining'],https://www.zomato.com/ahmedabad/legends-of-punjab-by-pepperazi-gulbai-tekra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1st Floor Tirupati House, Near Panjrapole Cross Roads, Gulbai Tekra, Ahmedabad",Ahmedabad,Gulbai Tekra,,"Gulbai Tekra, Ahmedabad","North Indian, Italian, BBQ, Mexican, Thai","12 Noon to 3 PM, 7 PM to 11 PM",700,2,"['Dinner', 'Debit Card', 'Lunch', 'Cash', 'Credit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Digital Payments Accepted']",4.1,Very Good,417,https://www.google.com/maps/search/?api=1&query=Legends%20Of%20Punjab%20-%20By%20Pepperazi%2C%201st%20Floor%20Tirupati%20House%2C%20Near%20Panjrapole%20Cross%20Roads%2C%20Gulbai%20Tekra%2C%20Ahmedabad
18,Swati Snacks,['Quick Bites'],https://www.zomato.com/ahmedabad/swati-snacks-ellis-bridge?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Law Garden, Ellis Bridge, Ahmedabad",Ahmedabad,Ellis Bridge,380006,"Ellis Bridge, Ahmedabad","Fast Food, Street Food, South Indian",12 Noon to 10:45 PM,600,2,"['Dinner', 'Credit Card', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Debit Card', 'No Alcohol Available', 'Indoor Seating', 'Table booking not available', 'Pure Veg', 'Wheelchair Accessible', 'Air Conditioned', 'Free Parking']",4.7,Excellent,1403,https://www.google.com/maps/search/?api=1&query=Swati%20Snacks%2C%20Near%20Law%20Garden%2C%20Ellis%20Bridge%2C%20Ahmedabad
19,Brick Kitchen - Five Petals,['Casual Dining'],https://www.zomato.com/ahmedabad/brick-kitchen-five-petals-ghatlodia?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"At Five Petals Hotel & amp; Banquets, Near Chanakyapuri Bridge, Ghatlodia, Ahmedabad",Ahmedabad,Ghatlodia,,"Ghatlodia, Ahmedabad","North Indian, Chinese, Continental","12 Noon to 3 PM, 7 PM to 11 PM",900,3,"['Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Cash', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Table booking recommended', 'Pure Veg']",4.5,Excellent,1533,https://www.google.com/maps/search/?api=1&query=Brick%20Kitchen%20-%20Five%20Petals%2C%20At%20Five%20Petals%20Hotel%20%26%20amp%3B%20Banquets%2C%20Near%20Chanakyapuri%20Bridge%2C%20Ghatlodia%2C%20Ahmedabad
20,The Secret Kitchen,['Casual Dining'],https://www.zomato.com/ahmedabad/the-secret-kitchen-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2nd Floor, Times Square II,
Beside Avalon Hotel, Sindhu Bhavan Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad",North Indian,"12 Noon to 3 PM, 7 PM to 11 PM",1100,3,"['Lunch', 'Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Valet Parking Available', 'Air Conditioned', 'Wifi', 'Indoor Seating', 'Pure Veg']",4.2,Very Good,577,https://www.google.com/maps/search/?api=1&query=The%20Secret%20Kitchen%2C%202nd%20Floor%2C%20Times%20Square%20II%2C%0ABeside%20Avalon%20Hotel%2C%20Sindhu%20Bhavan%20Road%2C%20Bodakdev%2C%20Ahmedabad
21,Shree Annpurna,['Quick Bites'],https://www.zomato.com/ahmedabad/shree-annpurna-mani-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A 2, Once More Apartment, Krishnabaug Cross Road, Mani Nagar, Ahmedabad",Ahmedabad,Mani Nagar,,"Mani Nagar, Ahmedabad","North Indian, Chinese",11 AM to 11 PM (Mon-Sun),500,2,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",4.1,Very Good,1909,https://www.google.com/maps/search/?api=1&query=Shree%20Annpurna%2C%20A%202%2C%20Once%20More%20Apartment%2C%20Krishnabaug%20Cross%20Road%2C%20Mani%20Nagar%2C%20Ahmedabad
22,Khichdi Etc,['Casual Dining'],https://www.zomato.com/ahmedabad/khichdi-etc-1-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 5-6, Gala Business Center, Opposite Zodiac Plaza, Near St. Xavier's Corner, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,380009,"Navrangpura, Ahmedabad","North Indian, Gujarati","12 Noon to 4 PM, 7 PM to 11 PM",700,2,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Sneakpeek', 'Air Conditioned', 'Pure Veg']",4.4,Very Good,675,https://www.google.com/maps/search/?api=1&query=Khichdi%20Etc%2C%20Shop%205-6%2C%20Gala%20Business%20Center%2C%20Opposite%20Zodiac%20Plaza%2C%20Near%20St.%20Xavier%27s%20Corner%2C%20Navrangpura%2C%20Ahmedabad
23,@Mango,['Casual Dining'],https://www.zomato.com/ahmedabad/@mango-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Sindhu Bhawan, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,,"Bodakdev, Ahmedabad","North Indian, Italian, Mexican","12 Noon to 3 PM, 7 PM to 11 PM",1300,3,"['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Sneakpeek', 'Indoor Seating', 'Digital Payments Accepted', 'Kid Friendly', 'Pure Veg']",4.5,Excellent,1753,https://www.google.com/maps/search/?api=1&query=%40Mango%2C%20Opposite%20Sindhu%20Bhawan%2C%20Bodakdev%2C%20Ahmedabad
24,La Pino'z Pizza,['Quick Bites'],https://www.zomato.com/ahmedabad/la-pinoz-pizza-1-ellis-bridge?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"G-5, Ground Floor, Capstone Building, Netaji Road, Opposite Chirag Motors, Kalgi Cross Road, Ellis Bridge, Ahmedabad",Ahmedabad,"Capstone, Ellisbridge",380006,"Capstone, Ellisbridge, Ahmedabad","Pizza, Italian",11 AM – 11 PM,500,2,"['Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Free Parking', 'Pure Veg', 'Indoor Seating']",4.3,Very Good,979,https://www.google.com/maps/search/?api=1&query=La%20Pino%27z%20Pizza%2C%20G-5%2C%20Ground%20Floor%2C%20Capstone%20Building%2C%20Netaji%20Road%2C%20Opposite%20Chirag%20Motors%2C%20Kalgi%20Cross%20Road%2C%20Ellis%20Bridge%2C%20Ahmedabad
25,Cafe De Italiano,['Café'],https://www.zomato.com/ahmedabad/cafe-de-italiano-bodakdev?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Opposite Stellar, Sindhu Bhavan Road, Bodakdev, Ahmedabad",Ahmedabad,Bodakdev,380054,"Bodakdev, Ahmedabad",Cafe,11am – 12midnight (Mon-Sun),950,3,"['Lunch', 'Cash', 'Delivery', 'Debit Card', 'Dinner', 'Takeaway Available', 'Credit Card', 'Live Sports Screening', 'Table booking recommended', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Wifi']",4.3,Very Good,866,https://www.google.com/maps/search/?api=1&query=Cafe%20De%20Italiano%2C%20Opposite%20Stellar%2C%20Sindhu%20Bhavan%20Road%2C%20Bodakdev%2C%20Ahmedabad
26,Ristretto - Behind the Rods,['Café'],https://www.zomato.com/ahmedabad/ristretto-behind-the-rods-navrangpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"A-1, Ground Floor, Maharaja Palace, University Road, Near Vijay Cross Roads, Navrangpura, Ahmedabad",Ahmedabad,Navrangpura,,"Navrangpura, Ahmedabad","Cafe, Italian",11:30 AM to 12 Midnight,1000,3,"['Dinner', 'Takeaway Available', 'Debit Card', 'Lunch', 'Cash', 'Delivery', 'Credit Card', 'Live Sports Screening', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Wifi', 'Serves Jain Food', 'Live Music', 'Free Wifi', 'Air Conditioned', 'Pure Veg', 'Desserts and Bakes']",4.4,Very Good,905,https://www.google.com/maps/search/?api=1&query=Ristretto%20-%20Behind%20the%20Rods%2C%20A-1%2C%20Ground%20Floor%2C%20Maharaja%20Palace%2C%20University%20Road%2C%20Near%20Vijay%20Cross%20Roads%2C%20Navrangpura%2C%20Ahmedabad
27,Eat Punjab,['Casual Dining'],https://www.zomato.com/ahmedabad/eat-punjab-chandkheda?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Swagat Status 1, Near Engineering College, New CG Road, Chandkheda, Ahmedabad",Ahmedabad,Chandkheda,0,"Chandkheda, Ahmedabad","North Indian, Chinese, Fast Food","10:30 AM to 3:30 PM, 6:30 PM to 11:30 PM",750,3,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Sodexo', 'Ticket Restaurant', 'Indoor Seating', 'Air Conditioned']",3.7,Good,1403,https://www.google.com/maps/search/?api=1&query=Eat%20Punjab%2C%20Swagat%20Status%201%2C%20Near%20Engineering%20College%2C%20New%20CG%20Road%2C%20Chandkheda%2C%20Ahmedabad
28,Tinello - Hyatt Regency,['Fine Dining'],https://www.zomato.com/ahmedabad/tinello-hyatt-regency-ashram-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hyatt Regency, 17/A, Usmanpura, Ashram Road, Ahmedabad",Ahmedabad,"Hyatt Regency, Ashram Road",380014,"Hyatt Regency, Ashram Road, Ahmedabad",Italian,6:30 AM to 11:30 PM,2500,4,"['No Alcohol Available', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Breakfast', 'Valet Parking Available', 'Table booking recommended', 'Brunch', 'Indoor Seating', '4/5 Star', 'Air Conditioned', 'Wifi', 'Buffet']",4.5,Excellent,587,https://www.google.com/maps/search/?api=1&query=Tinello%20-%20Hyatt%20Regency%2C%20Hyatt%20Regency%2C%2017/A%2C%20Usmanpura%2C%20Ashram%20Road%2C%20Ahmedabad
29,Agashiye - The House Of MG,['Fine Dining'],https://www.zomato.com/ahmedabad/agashiye-the-house-of-mg-lal-darwaja?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The House Of MG, Sidi Saiyed Mosque, Lal Darwaja, Ahmedabad",Ahmedabad,Lal Darwaja,380001,"Lal Darwaja, Ahmedabad",Gujarati,"12 Noon to 3:30 PM, 7 PM to 11 PM",1900,4,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Pure Veg', 'Poolside', 'Table booking not available', 'Serves Jain Food', 'Digital Payments Accepted']",4.6,Excellent,1246,https://www.google.com/maps/search/?api=1&query=Agashiye%20-%20The%20House%20Of%20MG%2C%20The%20House%20Of%20MG%2C%20Sidi%20Saiyed%20Mosque%2C%20Lal%20Darwaja%2C%20Ahmedabad
30,Gordhan Thaal,['Casual Dining'],https://www.zomato.com/ahmedabad/gordhan-thaal-satellite?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Sapath Complex, Opposite Rajpath Club, S G Highway, Satellite, Ahmedabad",Ahmedabad,Satellite,,"Satellite, Ahmedabad",Gujarati,"11 AM to 3 PM, 7 PM to 10:30 PM",650,2,"['Debit Card', 'Lunch', 'Cash', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Table Reservation Not Required']",4.5,Excellent,1842,https://www.google.com/maps/search/?api=1&query=Gordhan%20Thaal%2C%20Ground%20Floor%2C%20Sapath%20Complex%2C%20Opposite%20Rajpath%20Club%2C%20S%20G%20Highway%2C%20Satellite%2C%20Ahmedabad
31,Hotel Moti Mahal,['Casual Dining'],https://www.zomato.com/ahmedabad/hotel-moti-mahal-kalupur?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Railway Station, Kapasia Bazar, Kalupur, Ahmedabad",Ahmedabad,Kalupur,0,"Kalupur, Ahmedabad","North Indian, Chinese",6 AM to 11 PM,600,2,"['Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Air Conditioned']",3.9,Good,773,https://www.google.com/maps/search/?api=1&query=Hotel%20Moti%20Mahal%2C%20Near%20Railway%20Station%2C%20Kapasia%20Bazar%2C%20Kalupur%2C%20Ahmedabad
